iter	Passed	Remaining
0	214	107208
1	417	103944
2	576	95541
3	748	92765
4	933	92452
5	1099	90522
6	1271	89574
7	1456	89578
8	1640	89489
9	1812	88815
10	1992	88560
11	2173	88377
12	2345	87867
13	2502	86888
14	2675	86508
15	2840	85938
16	2995	85117
17	3163	84723
18	3321	84077
19	3494	83863
20	3653	83323
21	3815	82909
22	3968	82303
23	4138	82086
24	4306	81828
25	4480	81677
26	4659	81628
27	4826	81353
28	4984	80962
29	5155	80765
30	5327	80596
31	5513	80639
32	5693	80567
33	5884	80646
34	6046	80332
35	6204	79969
36	6367	79685
37	6535	79457
38	6723	79478
39	6906	79429
40	7098	79465
41	7283	79429
42	7467	79364
43	7696	79768
44	7878	79657
45	8045	79400
46	8209	79128
47	8386	78974
48	8565	78833
49	8745	78706
50	8921	78546
51	9087	78292
52	9272	78204
53	9459	78130
54	9622	77857
55	9794	77654
56	9951	77340
57	10125	77160
58	10282	76855
59	10444	76593
60	10614	76388
61	10812	76387
62	10986	76206
63	11148	75951
64	11296	75601
65	11465	75395
66	11640	75227
67	11823	75111
68	11989	74892
69	12158	74686
70	12335	74535
71	12502	74318
72	12677	74151
73	12835	73891
74	13007	73707
75	13156	73398
76	13314	73145
77	13470	72879
78	13629	72633
79	13781	72350
80	13939	72104
81	14110	71928
82	14295	71824
83	14472	71670
84	14651	71535
85	14835	71417
86	15016	71285
87	15197	71152
88	15377	71014
89	15556	70867
90	15749	70785
91	15920	70602
92	16088	70407
93	16251	70194
94	16416	69984
95	16591	69821
96	16792	69766
97	16974	69628
98	17158	69501
99	17338	69354
100	17527	69243
101	17697	69054
102	17856	68827
103	18022	68625
104	18209	68503
105	18389	68354
106	18551	68138
107	18707	67899
108	18886	67749
109	19051	67547
110	19217	67346
111	19380	67138
112	19566	67009
113	19724	66787
114	19880	66555
115	20036	66329
116	20191	66097
117	20370	65944
118	20567	65850
119	20755	65724
120	20943	65601
121	21113	65417
122	21288	65248
123	21454	65056
124	21636	64910
125	21825	64783
126	22002	64620
127	22178	64456
128	22371	64341
129	22550	64182
130	22713	63977
131	22878	63781
132	23041	63581
133	23203	63375
134	23367	63179
135	23534	62989
136	23713	62832
137	23885	62656
138	24068	62508
139	24242	62337
140	24424	62187
141	24621	62075
142	24788	61883
143	24944	61667
144	24987	61177
145	25175	61042
146	25349	60873
147	25522	60702
148	25682	60500
149	25843	60301
150	26025	60152
151	26213	60016
152	26401	59877
153	26562	59680
154	26730	59497
155	26895	59308
156	27053	59104
157	27219	58918
158	27403	58771
159	27582	58613
160	27745	58420
161	27931	58277
162	28100	58097
163	28259	57898
164	28486	57836
165	28681	57709
166	28867	57561
167	29041	57391
168	29217	57224
169	29377	57027
170	29542	56838
171	29727	56690
172	29895	56506
173	30050	56301
174	30237	56154
175	30422	56004
176	30578	55801
177	30761	55646
178	30927	55461
179	31106	55299
180	31305	55173
181	31534	55098
182	31709	54927
183	31879	54750
184	32051	54574
185	32209	54374
186	32375	54190
187	32562	54039
188	32733	53863
189	32916	53706
190	33114	53572
191	33286	53397
192	33444	53198
193	33631	53047
194	33792	52854
195	33953	52662
196	34128	52492
197	34299	52315
198	34462	52126
199	34641	51962
200	34828	51809
201	35001	51635
202	35176	51464
203	35336	51271
204	35520	51115
205	35703	50955
206	35922	50847
207	36098	50677
208	36273	50505
209	36466	50358
210	36680	50240
211	36847	50057
212	37042	49911
213	37215	49736
214	37374	49543
215	37582	49414
216	37772	49260
217	37948	49088
218	38184	48995
219	38384	48852
220	38542	48657
221	38708	48473
222	38910	48332
223	39085	48158
224	39287	48017
225	39460	47841
226	39630	47660
227	39802	47483
