iter	Passed	Remaining
0	272	136156
1	545	135840
2	743	123254
3	935	116062
4	1145	113375
5	1331	109666
6	1522	107241
7	1738	106889
8	1938	105753
9	2134	104603
10	2342	104123
11	2563	104235
12	2819	105636
13	3044	105704
14	3247	104987
15	3436	103950
16	3624	102987
17	3813	102123
18	3999	101263
19	4188	100531
20	4374	99789
21	4608	100127
22	4802	99599
23	4993	99028
24	5187	98564
25	5474	99798
26	5688	99649
27	5873	99013
28	6058	98394
29	6251	97935
30	6445	97518
31	6668	97528
32	6879	97362
33	7064	96822
34	7248	96303
35	7431	95784
36	7638	95588
37	7822	95106
38	8006	94636
39	8216	94492
40	8545	95671
41	8763	95559
42	8956	95188
43	9149	94823
44	9343	94470
45	9539	94146
46	9726	93751
47	9910	93320
48	10087	92850
49	10321	92897
50	10584	93187
51	10778	92860
52	10977	92579
53	11168	92244
54	11365	91956
55	11564	91693
56	11776	91523
57	11977	91274
58	12169	90964
59	12360	90645
60	12573	90484
61	12793	90379
62	12980	90038
63	13172	89738
64	13359	89402
65	13565	89206
66	13795	89153
67	14023	89090
68	14253	89030
69	14457	88812
70	14641	88465
71	14838	88205
72	15082	88219
73	15294	88047
74	15555	88150
75	15762	87938
76	16000	87897
77	16209	87698
78	16404	87423
79	16619	87250
80	16826	87038
81	17020	86762
82	17211	86471
83	17400	86175
84	17588	85873
85	17774	85567
86	17967	85292
87	18152	84988
88	18362	84798
89	18565	84575
90	18749	84269
91	18937	83981
92	19127	83708
93	19344	83553
94	19573	83444
95	19798	83320
96	19996	83077
97	20186	82804
98	20473	82928
99	20675	82701
100	20866	82434
101	21062	82186
102	21260	81944
103	21451	81681
104	21667	81510
105	21873	81303
106	22092	81145
107	22286	80891
108	22505	80730
109	22711	80522
110	22921	80328
111	23120	80095
112	23301	79800
113	23487	79526
114	23687	79301
115	23914	79164
116	24138	79017
117	24332	78772
118	24528	78533
119	24718	78275
120	24941	78124
121	25153	77934
122	25469	78064
123	25675	77853
124	25860	77581
125	26042	77300
126	26233	77048
127	26435	76829
128	26648	76640
129	26844	76403
130	27055	76210
131	27245	75955
132	27433	75700
133	27621	75445
134	27810	75190
135	27992	74921
136	28174	74651
137	28376	74436
138	28575	74213
139	28761	73957
140	28949	73709
141	29133	73448
142	29325	73210
143	29517	72974
144	29562	72376
145	29756	72148
146	29939	71896
147	30137	71677
148	30387	71582
149	30713	71664
150	30945	71523
151	31159	71338
152	31352	71105
153	31561	70910
154	31765	70704
155	31961	70479
156	32176	70295
157	32362	70050
158	32571	69854
159	32782	69663
160	32975	69433
161	33157	69181
162	33342	68936
163	33523	68681
164	33706	68433
165	33886	68180
166	34075	67947
167	34297	67778
168	34486	67544
169	34675	67311
170	34863	67077
171	35053	66846
172	35269	66664
173	35529	66567
174	35729	66354
175	35915	66117
176	36143	65956
177	36415	65876
178	36666	65754
179	36855	65520
180	37064	65322
181	37246	65079
182	37434	64846
