iter	Logloss
0	0.6785769423
1	0.6651302993
2	0.6525807565
3	0.6408802673
4	0.6300125616
5	0.6197057961
6	0.6090082827
7	0.5999054839
8	0.5907091737
9	0.5819297604
10	0.5734027572
11	0.566975281
12	0.5590440238
13	0.5520152275
14	0.5455700543
15	0.5389461667
16	0.5329301606
17	0.5269977622
18	0.5218800394
19	0.5172903728
20	0.5123733504
21	0.5082206986
22	0.503761219
23	0.4996580503
24	0.4958734576
25	0.4922878941
26	0.4889433145
27	0.4853417083
28	0.4818419366
29	0.4790447148
30	0.4757090954
31	0.4728644961
32	0.4701893081
33	0.4678234635
34	0.4650123384
35	0.4626999082
36	0.4601871921
37	0.4580822157
38	0.455862205
39	0.4540788804
40	0.4522404496
41	0.4507576777
42	0.4489611887
43	0.4473303065
44	0.4460289989
45	0.4446147273
46	0.4432404231
47	0.441730783
48	0.4405866921
49	0.4393734604
50	0.4380206702
51	0.4367542626
52	0.4355513073
53	0.4344537093
54	0.4333124074
55	0.4321144202
56	0.431137462
57	0.4301109762
58	0.4292545344
59	0.4284923462
60	0.4274110101
61	0.4264720988
62	0.4255021612
63	0.4245736215
64	0.4237536543
65	0.4229599884
66	0.421998193
67	0.4212744976
68	0.4204773115
69	0.419796096
70	0.4192264031
71	0.418438578
72	0.4178782533
73	0.4172723804
74	0.4166912904
75	0.4160480746
76	0.415385791
77	0.4148862084
78	0.4142631136
79	0.413615971
80	0.4131659535
81	0.4125617657
82	0.4121353229
83	0.4116022698
84	0.4112401596
85	0.4109103487
86	0.4102953244
87	0.4099289878
88	0.4093872422
89	0.4089374638
90	0.4084640746
91	0.4080315405
92	0.4076360333
93	0.4071597234
94	0.4067551503
95	0.4062541335
96	0.4057535293
97	0.4053533355
98	0.4049853467
99	0.4046315403
100	0.4041958287
101	0.4038404512
102	0.4035197683
103	0.4031932926
104	0.4028957081
105	0.4025977492
106	0.4022880517
107	0.4018824684
108	0.4015867027
109	0.4012283887
110	0.4008896996
111	0.4005361778
112	0.400174789
113	0.3998272823
114	0.3995196007
115	0.3992423621
116	0.3989796802
117	0.398644261
118	0.3983977952
119	0.3981224108
120	0.3977920354
121	0.3974792046
122	0.3972500173
123	0.3969654105
124	0.3967127533
125	0.3964878918
126	0.3961866952
127	0.3959085085
128	0.3956368733
129	0.3953539402
130	0.3951169463
131	0.3949228257
132	0.3946420724
133	0.394365859
134	0.3941361607
135	0.3938922201
136	0.3936626306
137	0.393449457
138	0.3932109965
139	0.3930245658
140	0.3928470108
141	0.3926011734
142	0.3923522287
143	0.3920989679
144	0.3918802851
145	0.3916586559
146	0.3914481116
147	0.3912492931
148	0.3909938308
