iter	Passed	Remaining
0	61	61616
1	72	35948
2	79	26474
3	90	22418
4	95	19103
5	101	16799
6	109	15535
7	123	15367
8	128	14135
9	133	13215
10	144	12950
11	150	12353
12	157	11933
13	161	11388
14	166	10949
15	179	11044
16	183	10625
17	187	10212
18	190	9827
19	193	9469
20	196	9155
21	199	8869
22	202	8597
23	205	8349
24	208	8117
25	211	7928
26	214	7735
27	217	7540
28	220	7375
29	223	7214
30	226	7081
31	230	6962
32	237	6959
33	249	7074
34	252	6966
35	258	6929
36	266	6935
37	269	6817
38	272	6717
39	275	6602
40	277	6494
41	280	6403
42	283	6315
43	286	6232
44	289	6153
45	292	6066
46	295	5983
47	298	5910
48	301	5845
49	304	5778
50	307	5715
51	310	5655
52	312	5585
53	315	5531
54	318	5478
55	321	5426
56	324	5367
57	327	5314
58	330	5263
59	332	5208
60	335	5161
61	338	5113
62	341	5075
63	344	5031
64	346	4983
65	349	4943
66	351	4900
67	354	4864
68	357	4821
69	360	4790
70	363	4759
71	366	4727
72	369	4697
73	373	4669
74	376	4640
75	379	4609
76	382	4580
77	384	4547
78	387	4519
79	390	4490
80	392	4457
81	397	4448
82	400	4429
83	406	4436
84	411	4434
85	416	4425
86	419	4401
87	422	4376
88	425	4352
89	428	4331
90	431	4310
91	433	4281
92	436	4257
93	439	4238
94	442	4214
95	445	4192
96	448	4171
97	451	4152
98	454	4133
99	457	4116
100	460	4098
101	463	4076
102	466	4058
103	469	4043
104	472	4026
105	475	4010
106	478	3995
107	481	3980
108	484	3962
109	487	3943
110	490	3928
111	493	3911
112	496	3893
113	499	3878
114	501	3862
115	505	3850
116	508	3834
117	510	3819
118	514	3806
119	517	3797
120	520	3783
121	523	3770
122	526	3756
123	530	3745
124	532	3730
125	535	3717
126	539	3705
127	542	3692
128	545	3685
129	548	3673
130	551	3661
131	555	3649
132	558	3638
133	561	3627
134	564	3617
135	567	3608
136	570	3595
137	573	3585
138	576	3569
139	579	3557
140	582	3548
141	585	3538
142	588	3524
143	591	3514
144	594	3502
145	597	3492
146	600	3483
147	603	3473
148	606	3462
149	609	3451
150	612	3442
151	615	3432
152	618	3422
153	621	3413
154	624	3405
155	627	3395
156	630	3387
157	634	3379
158	639	3380
159	641	3370
160	644	3360
161	647	3350
162	650	3341
163	653	3329
164	655	3317
165	658	3306
166	661	3299
167	663	3287
168	666	3276
169	669	3267
170	671	3257
171	674	3248
172	678	3241
173	680	3232
174	683	3223
175	686	3214
176	689	3206
177	692	3198
178	694	3187
179	697	3178
180	700	3171
181	703	3163
182	706	3155
183	709	3146
184	712	3137
185	716	3133
186	718	3125
187	721	3118
188	724	3108
189	727	3099
190	730	3092
191	732	3083
192	735	3075
193	738	3068
194	741	3062
195	744	3055
196	747	3048
197	751	3042
198	754	3036
199	756	3027
200	759	3019
201	761	3010
202	764	3001
203	767	2994
204	770	2988
205	773	2981
206	776	2973
207	779	2967
208	782	2960
209	785	2954
210	787	2945
211	790	2939
212	793	2932
213	796	2926
214	800	2921
215	803	2914
216	805	2907
217	808	2901
218	811	2895
219	815	2889
220	818	2884
221	821	2878
222	824	2873
223	827	2868
224	831	2862
225	833	2855
226	836	2847
227	839	2841
228	842	2835
229	845	2830
230	848	2824
231	851	2817
232	853	2810
233	856	2803
234	858	2795
235	862	2792
236	865	2786
237	868	2780
238	871	2774
239	874	2768
240	877	2762
241	880	2757
242	883	2750
243	885	2744
244	888	2738
245	891	2732
246	894	2726
247	896	2718
248	899	2713
249	902	2706
250	904	2699
251	907	2693
252	910	2688
253	913	2682
254	916	2676
255	919	2671
256	922	2666
257	925	2660
258	927	2654
259	930	2649
260	933	2642
261	935	2635
262	939	2631
263	941	2625
264	944	2619
265	947	2614
266	950	2609
267	953	2603
268	955	2597
269	958	2590
270	961	2585
271	964	2580
272	966	2575
273	970	2570
274	972	2564
275	975	2558
276	978	2552
277	980	2547
278	983	2542
279	986	2536
280	989	2531
281	992	2526
282	995	2521
283	998	2517
284	1001	2512
285	1004	2507
286	1007	2502
287	1010	2497
288	1012	2491
289	1015	2485
290	1017	2480
291	1020	2475
292	1023	2469
293	1026	2464
294	1029	2460
295	1031	2454
296	1034	2448
297	1037	2443
298	1040	2439
299	1043	2434
300	1046	2430
301	1049	2426
302	1052	2420
303	1055	2416
304	1058	2410
305	1061	2406
306	1063	2401
307	1065	2393
308	1068	2388
309	1071	2385
310	1075	2381
311	1077	2377
312	1081	2372
313	1083	2368
314	1086	2362
315	1089	2358
316	1092	2354
317	1095	2349
318	1098	2345
319	1101	2340
320	1105	2338
321	1108	2334
322	1111	2329
323	1114	2324
324	1116	2319
325	1119	2314
326	1122	2310
327	1125	2305
328	1128	2300
329	1130	2295
330	1133	2290
331	1136	2287
332	1139	2282
333	1142	2278
334	1145	2273
335	1147	2267
336	1150	2263
337	1153	2259
338	1158	2258
339	1162	2257
340	1165	2252
341	1169	2249
342	1173	2248
343	1178	2247
344	1184	2248
345	1189	2247
346	1193	2246
347	1197	2244
348	1202	2243
349	1206	2240
350	1210	2238
351	1214	2236
352	1217	2232
353	1221	2228
354	1223	2223
355	1227	2219
356	1230	2215
357	1234	2213
358	1244	2222
359	1249	2221
360	1254	2220
361	1258	2218
362	1263	2216
363	1267	2215
364	1273	2214
365	1277	2212
366	1279	2207
367	1282	2202
368	1285	2197
369	1287	2192
370	1290	2188
371	1294	2184
372	1297	2180
373	1300	2176
374	1303	2171
375	1306	2167
376	1308	2162
377	1311	2158
378	1314	2154
379	1317	2149
380	1320	2145
381	1323	2141
382	1326	2137
383	1329	2133
384	1332	2129
385	1335	2124
386	1338	2120
387	1341	2116
388	1344	2112
389	1347	2107
390	1350	2103
391	1353	2099
392	1356	2094
393	1358	2089
394	1361	2085
395	1364	2081
396	1367	2077
397	1370	2073
398	1373	2068
399	1376	2064
400	1379	2060
401	1382	2056
402	1384	2051
403	1387	2047
404	1390	2043
405	1392	2038
406	1396	2033
407	1398	2029
408	1402	2026
409	1406	2024
410	1411	2023
411	1416	2021
412	1422	2021
413	1424	2016
414	1427	2012
415	1430	2008
416	1433	2003
417	1436	1999
418	1439	1995
419	1442	1991
420	1445	1987
421	1447	1983
422	1450	1978
423	1453	1974
424	1456	1970
425	1458	1965
426	1462	1962
427	1464	1957
428	1467	1953
429	1471	1951
430	1475	1947
431	1478	1943
432	1482	1940
433	1484	1936
434	1487	1932
435	1490	1927
436	1493	1924
437	1496	1920
438	1499	1915
439	1501	1911
