iter	Logloss
0	0.6741466756
1	0.6556289705
2	0.6417653695
3	0.6280490714
4	0.6149572151
5	0.6037440226
6	0.5952481239
7	0.5867347296
8	0.5825763209
9	0.5763895338
10	0.5689526067
11	0.5649710422
12	0.559974079
13	0.5553403113
14	0.5528118955
15	0.5473690493
16	0.5437900189
17	0.5423555414
18	0.5393206216
19	0.5366969316
20	0.5345988486
21	0.5320396901
22	0.5293496772
23	0.5273229018
24	0.5246492252
25	0.5239717726
26	0.5224136319
27	0.5212341915
28	0.519469929
29	0.5187254797
30	0.5176274901
31	0.5166239583
32	0.5156437947
33	0.5148586561
34	0.5141063764
35	0.5140043491
36	0.5138253536
37	0.5131061668
38	0.5123922903
39	0.5120650227
40	0.5111969293
41	0.5106756727
42	0.5100416556
43	0.5094897479
44	0.5090634327
45	0.5085197047
46	0.5082185832
47	0.5079879152
48	0.5075222283
49	0.5071830471
50	0.5065022686
51	0.5062854171
52	0.5060135611
53	0.5057975216
54	0.5054815383
55	0.5053506741
56	0.5050924953
57	0.504912838
58	0.5048568984
59	0.504697391
60	0.5041821107
61	0.5039678959
62	0.5037057801
63	0.503443652
64	0.5032343483
65	0.5030599337
66	0.502909105
67	0.5027463737
68	0.5026183812
69	0.5024680562
70	0.5023798135
71	0.5020516628
72	0.5019477197
73	0.5017960245
74	0.5017088242
75	0.5015661766
76	0.5014397838
77	0.5013098482
78	0.5010120394
79	0.5008437007
80	0.5007210304
81	0.5005213548
82	0.5003725713
83	0.5002726902
84	0.5000713499
85	0.4999249138
86	0.4998105846
87	0.4996748222
88	0.4995585212
89	0.4994720681
90	0.4993984248
91	0.4992604956
92	0.4990921537
93	0.4989161804
94	0.4986760425
95	0.4985494583
96	0.4984451067
97	0.4982343424
98	0.4981171037
99	0.4978307974
100	0.4976911334
101	0.4976633168
102	0.497536105
103	0.4973981762
104	0.4972687955
105	0.4971850579
106	0.4970438296
107	0.4969352028
108	0.4968242554
109	0.4966792875
110	0.4965823186
111	0.4964253778
112	0.4962953529
113	0.4960885072
114	0.4958348495
115	0.4957667129
116	0.4956357901
117	0.4955116489
118	0.4954342061
119	0.4952912012
120	0.4952792895
121	0.495174868
122	0.4950500541
123	0.4949264296
124	0.4947299883
125	0.4946091187
126	0.4944761916
127	0.4943622769
128	0.4942952092
129	0.4940594275
130	0.4938594284
131	0.4937937706
132	0.4936907242
133	0.4936263835
134	0.4935331632
135	0.4934546444
136	0.4933447202
137	0.4932273988
138	0.4931078794
139	0.4929414454
140	0.4928468805
141	0.4927437692
142	0.492640574
143	0.4925208448
144	0.4924354035
145	0.4923583527
146	0.4923496409
147	0.4922037932
148	0.4920459787
149	0.4919583843
150	0.4918639883
151	0.4917130609
152	0.4916152444
153	0.4914722269
154	0.49134587
155	0.4911999066
156	0.4910756855
157	0.4909493358
158	0.4908339054
159	0.4907309911
160	0.4906636383
161	0.4905790145
162	0.4904708614
163	0.4903306045
164	0.490253598
165	0.4900781409
166	0.4900030402
167	0.4899459886
168	0.4898041155
169	0.489726956
170	0.4896224913
171	0.4894619039
172	0.4893702502
173	0.4892128778
174	0.4890757881
175	0.4889725484
176	0.4888328532
177	0.4887866469
178	0.4886641126
179	0.4885681882
180	0.4884310339
181	0.4883189335
182	0.4882552297
183	0.4882466494
184	0.4880885359
185	0.4879704204
186	0.4879039521
187	0.4876582058
188	0.4875938916
189	0.4874772112
190	0.4873069185
191	0.4872301002
192	0.4871828009
193	0.487013741
194	0.486953318
195	0.4868218215
196	0.4867323551
197	0.4866452377
198	0.486429113
199	0.4863412513
200	0.4862898351
201	0.4861778954
202	0.4861100357
203	0.4860492343
204	0.4858808659
205	0.4857031972
206	0.4855930501
207	0.4855019682
208	0.4853921781
209	0.485235859
210	0.4851331235
211	0.4850531822
212	0.4848894066
213	0.4847409018
214	0.4846969905
215	0.4846207846
216	0.4845369464
217	0.4845038539
218	0.4844319143
219	0.4843029029
220	0.4841642761
221	0.4839875372
