iter	Passed	Remaining
0	4	4602
1	8	4215
2	12	4231
3	16	4232
4	20	4084
5	24	4068
6	28	4051
7	32	4091
8	37	4081
9	41	4073
10	45	4053
11	49	4043
12	53	4037
13	57	4036
14	61	4028
15	65	4032
16	69	4036
17	74	4057
18	79	4101
19	83	4106
20	87	4099
21	92	4094
22	96	4090
23	100	4087
24	104	4078
25	108	4071
26	113	4073
27	117	4067
28	121	4068
29	125	4063
30	129	4059
31	133	4052
32	138	4049
33	142	4047
34	146	4045
35	150	4019
36	154	4009
37	158	4010
38	162	4002
39	166	3999
40	170	3989
41	174	3983
42	179	3987
43	183	3982
44	187	3983
45	196	4076
46	203	4117
47	207	4117
48	212	4116
49	216	4107
50	220	4102
51	224	4096
52	228	4089
53	233	4081
54	238	4101
55	242	4095
56	246	4086
57	250	4076
58	254	4057
59	258	4049
60	262	4041
61	266	4033
62	271	4035
63	275	4029
64	279	4026
65	284	4020
66	288	4012
67	292	4003
68	296	3996
69	300	3991
70	304	3985
71	308	3979
72	312	3973
73	317	3969
74	321	3963
75	325	3954
76	329	3948
77	333	3945
78	338	3947
79	342	3942
80	346	3935
81	350	3928
82	354	3920
83	359	3915
84	364	3922
85	368	3915
86	372	3907
87	376	3902
88	380	3899
89	385	3894
90	389	3888
91	393	3883
92	397	3879
93	401	3873
94	406	3868
95	410	3862
96	414	3855
97	418	3851
98	422	3848
99	427	3844
100	431	3837
101	434	3828
102	439	3824
103	443	3819
104	447	3815
105	451	3810
106	456	3805
107	460	3803
108	469	3835
109	476	3853
110	483	3870
111	489	3878
112	496	3897
113	501	3901
114	508	3914
115	514	3922
116	522	3941
117	529	3957
118	536	3970
119	542	3976
120	548	3985
121	554	3989
122	559	3992
123	566	4001
124	571	4002
125	576	4002
126	582	4002
127	587	4005
128	595	4018
129	599	4012
130	603	4004
131	607	3994
132	611	3985
133	614	3973
134	618	3965
135	622	3956
136	627	3954
137	631	3946
138	635	3938
139	639	3930
140	643	3922
141	648	3917
142	652	3910
143	656	3903
144	660	3896
145	666	3897
146	670	3888
147	675	3891
148	681	3892
149	685	3886
150	696	3914
151	702	3916
152	717	3972
153	723	3974
154	735	4011
155	747	4042
156	751	4035
157	755	4027
158	760	4020
159	777	4079
160	786	4096
161	806	4169
162	826	4241
163	888	4528
164	902	4566
165	929	4669
166	935	4667
167	944	4678
168	952	4683
169	959	4683
170	964	4677
171	971	4674
172	976	4670
173	982	4664
174	988	4658
175	995	4661
176	1011	4701
177	1015	4688
178	1027	4714
179	1047	4770
180	1052	4760
181	1056	4750
182	1061	4737
183	1064	4722
184	1069	4710
185	1073	4700
186	1078	4688
187	1082	4675
188	1086	4662
189	1090	4650
190	1095	4638
191	1099	4626
192	1103	4614
193	1107	4603
194	1112	4591
195	1116	4579
196	1120	4568
197	1124	4556
198	1129	4544
199	1133	4533
200	1137	4521
201	1141	4509
202	1146	4499
203	1150	4488
204	1154	4476
205	1158	4465
206	1162	4454
207	1166	4443
208	1171	4432
209	1176	4424
210	1180	4412
211	1184	4401
212	1188	4392
213	1193	4383
214	1199	4379
215	1206	4377
216	1215	4384
217	1219	4373
218	1223	4363
219	1227	4352
220	1231	4341
221	1235	4330
222	1239	4319
223	1243	4309
224	1247	4298
225	1252	4287
226	1256	4278
227	1260	4267
228	1264	4258
229	1268	4248
230	1274	4241
231	1278	4231
232	1283	4225
233	1287	4215
234	1291	4204
235	1295	4194
236	1299	4183
237	1303	4174
238	1307	4164
239	1311	4154
240	1316	4144
241	1320	4134
242	1324	4125
243	1328	4115
244	1332	4105
245	1336	4096
246	1340	4086
247	1344	4077
248	1348	4068
249	1352	4058
250	1358	4055
251	1363	4048
252	1367	4036
253	1371	4027
254	1375	4018
255	1379	4008
256	1383	3999
257	1387	3991
258	1391	3981
259	1395	3972
260	1399	3963
261	1404	3955
262	1408	3947
263	1412	3938
264	1417	3930
265	1420	3921
266	1425	3912
267	1429	3904
268	1433	3895
269	1437	3887
270	1442	3879
271	1446	3870
272	1450	3861
273	1454	3853
274	1458	3845
275	1463	3838
276	1467	3830
277	1471	3821
278	1475	3813
279	1479	3804
280	1484	3798
281	1489	3791
282	1493	3783
283	1497	3775
284	1501	3766
285	1505	3758
286	1509	3750
287	1513	3741
288	1517	3733
289	1521	3725
290	1525	3717
291	1530	3710
292	1534	3701
293	1538	3694
294	1545	3693
295	1550	3687
296	1554	3679
297	1558	3671
298	1562	3663
299	1566	3655
300	1570	3647
301	1574	3639
302	1578	3631
303	1582	3623
304	1586	3616
305	1590	3608
306	1595	3600
307	1599	3593
308	1603	3586
309	1607	3578
310	1611	3571
311	1615	3562
312	1619	3554
313	1623	3546
314	1627	3538
315	1631	3531
316	1635	3524
317	1640	3517
318	1644	3510
319	1648	3503
320	1653	3496
321	1657	3489
322	1661	3482
323	1665	3475
324	1670	3468
325	1674	3461
326	1678	3454
327	1682	3447
328	1686	3440
329	1691	3433
330	1695	3426
331	1699	3419
332	1703	3412
333	1708	3406
334	1712	3399
335	1716	3392
336	1720	3385
337	1725	3379
338	1729	3372
339	1733	3365
340	1737	3358
341	1741	3351
342	1745	3344
343	1749	3337
344	1754	3330
345	1758	3323
346	1762	3316
347	1766	3309
348	1770	3303
349	1775	3296
350	1779	3290
351	1783	3283
352	1787	3276
353	1791	3269
354	1795	3262
355	1799	3256
356	1804	3249
357	1808	3242
358	1812	3235
359	1816	3228
360	1819	3221
361	1823	3214
362	1828	3207
363	1832	3201
364	1836	3194
365	1840	3187
366	1844	3181
367	1848	3174
368	1852	3167
369	1856	3161
370	1860	3154
371	1865	3148
372	1869	3143
373	1874	3136
374	1878	3130
375	1882	3124
376	1886	3117
377	1890	3111
378	1895	3106
379	1899	3099
380	1904	3093
381	1908	3087
382	1912	3081
383	1916	3074
384	1920	3068
385	1925	3062
386	1929	3056
387	1933	3049
388	1937	3043
389	1941	3036
390	1945	3030
391	1949	3024
392	1953	3017
393	1957	3011
394	1962	3006
395	1967	3000
396	1971	2994
397	1975	2988
398	1980	2983
399	1986	2979
400	1991	2975
401	1998	2972
