id,event_timestamp,grade,annual_inc,short_emp,emp_length_num,home_ownership,dti,purpose,term,last_delinq_none,last_major_derog_none,revol_util,total_rec_late_fee,od_ratio,bad_loan
11454641,2016-02-08 00:37:08+00:00,A,100000,1,1,RENT,26.27,credit_card, 36 months,1,,43.2,0,0.160624077,0
9604874,2016-02-08 05:56:20+00:00,A,83000,0,4,OWN,5.39,credit_card, 36 months,0,,21.5,0,0.810776768,0
9684700,2016-02-08 06:15:39+00:00,D,78000,0,11,MORTGAGE,18.45,debt_consolidation, 60 months,1,,46.3,0,0.035147175,1
9695736,2016-02-08 06:15:39+00:00,D,37536,0,6,MORTGAGE,12.28,medical, 60 months,0,,10.7,0,0.534886729,1
9795013,2016-02-08 06:51:45+00:00,D,65000,0,11,MORTGAGE,11.26,debt_consolidation, 36 months,0,,15.2,0,0.166500123,0
9856168,2016-02-08 07:53:43+00:00,E,45600,1,0,MORTGAGE,1.5,medical, 60 months,0,,14.6,0,0.30841038,1
9825536,2016-02-08 08:16:57+00:00,B,45000,0,5,MORTGAGE,18.69,debt_consolidation, 36 months,0,,29.5,0,0.045062413,1
7450630,2016-02-08 08:16:57+00:00,D,96000,1,1,RENT,6.41,other, 36 months,0,,55.9,0,0.238576126,0
9767996,2016-02-08 08:15:41+00:00,G,60000,0,11,MORTGAGE,26.27,medical, 60 months,0,,94.1,0,0.67483453,0
9858164,2016-02-08 11:51:46+00:00,A,130000,0,3,MORTGAGE,14.6,medical, 36 months,1,,82.7,0,0.78238275,0
9828271,2016-02-08 14:19:57+00:00,E,102000,0,11,MORTGAGE,23.9,credit_card, 60 months,0,,57,0,0.695201635,0
9934676,2016-02-08 15:16:43+00:00,D,84000,0,11,,19.56,debt_consolidation, 36 months,0,,52.5,0,0.328954449,1
9001565,2016-02-08 15:43:50+00:00,C,200000,0,11,MORTGAGE,7.21,credit_card, 60 months,1,,29.8,0,0.494031866,0
9808485,2016-02-08 16:50:57+00:00,C,40800,1,1,OWN,26.21,credit_card, 36 months,1,,28.4,0,0.524121363,1
10064734,2016-02-08 17:27:39+00:00,E,70000,0,11,MORTGAGE,11.23,home_improvement, 60 months,0,,84.3,0,0.298541245,0
10104967,2016-02-08 17:30:18+00:00,B,80000,0,11,RENT,4.02,debt_consolidation, 36 months,0,,68.6,0,0.46310814,0
9924735,2016-02-08 18:11:11+00:00,C,120000,0,4,MORTGAGE,14.02,credit_card, 60 months,1,,71.2,0,0.984784293,0
10105115,2016-02-08 18:11:11+00:00,B,37000,1,1,OWN,19.62,small_business, 36 months,1,,68.5,0,0.501134921,1
10105178,2016-02-08 19:47:42+00:00,C,90000,0,11,MORTGAGE,7.13,credit_card, 60 months,0,,69.8,0,0.398072447,0
10075202,2016-02-08 19:47:42+00:00,A,150000,0,4,OWN,7.57,debt_consolidation, 36 months,1,,34.4,0,0.727905317,0
9654640,2016-02-08 20:13:22+00:00,C,126000,0,9,MORTGAGE,11.48,debt_consolidation, 60 months,1,,64.7,0,0.86333097,1
10175470,2016-02-08 21:00:17+00:00,E,55200,0,4,MORTGAGE,22.83,medical, 60 months,0,,42.1,0,0.026169537,0
8944858,2016-02-08 21:10:10+00:00,D,75000,0,7,OWN,23.58,debt_consolidation, 60 months,0,,51.6,0,0.290017181,0
10214568,2016-02-08 21:30:31+00:00,C,30000,0,4,RENT,30.28,credit_card, 36 months,0,,43.6,0,0.789069194,0
10075541,2016-02-09 05:54:01+00:00,C,27000,1,1,RENT,18.09,debt_consolidation, 36 months,0,,0,0,0.457119669,1
10075730,2016-02-09 06:10:59+00:00,D,35400,0,11,MORTGAGE,15.73,credit_card, 60 months,0,,36.6,0,0.00692848,0
10115896,2016-02-09 06:46:32+00:00,C,33000,1,1,RENT,15.6,debt_consolidation, 36 months,1,,46.7,0,0.419335457,0
10086141,2016-02-09 07:18:10+00:00,B,43000,0,2,,27.75,debt_consolidation, 36 months,1,,83.6,0,0.330674764,1
10106041,2016-02-09 07:28:15+00:00,B,62692,0,9,,9.63,debt_consolidation, 36 months,0,,59.2,0,0.604152128,0
10166062,2016-02-09 07:25:40+00:00,F,70000,0,7,MORTGAGE,13.85,small_business, 60 months,1,,61.2,0,0.324620837,0
10086164,2016-02-09 07:44:49+00:00,A,37000,0,11,RENT,13.95,credit_card, 36 months,1,,48,0,0.981251081,0
10126218,2016-02-09 07:48:40+00:00,B,79000,1,1,MORTGAGE,19.87,debt_consolidation, 36 months,0,,57.1,0,0.588231951,0
10166166,2016-02-09 07:48:40+00:00,C,160000,0,6,MORTGAGE,13.58,debt_consolidation, 36 months,0,,76,0,0.131091948,0
9645048,2016-02-09 08:00:16+00:00,C,124800,1,1,MORTGAGE,4.23,debt_consolidation, 36 months,0,,5.5,0,0.520977704,0
10115641,2016-02-09 08:02:55+00:00,B,42000,0,11,MORTGAGE,18.37,debt_consolidation, 36 months,1,,55.3,0,0.3579784,1
10096681,2016-02-09 08:18:58+00:00,B,130000,1,1,MORTGAGE,8.94,debt_consolidation, 36 months,0,,41.4,0,0.014999977,0
10126703,2016-02-09 09:07:19+00:00,C,45000,0,11,RENT,22.91,debt_consolidation, 36 months,1,,26.8,0,0.096429907,0
10156788,2016-02-09 10:07:49+00:00,A,65500,0,7,MORTGAGE,27.68,major_purchase, 36 months,0,,70.6,0,0.784234787,1
10176783,2016-02-09 11:09:49+00:00,C,70000,1,1,MORTGAGE,27.36,debt_consolidation, 60 months,0,,49,0,0.427003044,0
10076700,2016-02-09 11:28:49+00:00,E,90300,0,11,MORTGAGE,3.52,debt_consolidation, 36 months,0,,31,0,0.197951823,0
10156609,2016-02-09 12:31:08+00:00,D,50000,0,6,,8.5,debt_consolidation, 36 months,0,,47.7,0,0.624101527,0
10086931,2016-02-09 15:33:59+00:00,B,28600,1,0,RENT,11.37,debt_consolidation, 36 months,1,,40,0,0.640288939,1
10106916,2016-02-09 17:12:40+00:00,C,54000,0,2,RENT,23.76,credit_card, 36 months,1,,39.2,0,0.270702748,1
10066954,2016-02-09 17:13:58+00:00,A,90000,0,2,MORTGAGE,20.51,debt_consolidation, 36 months,0,,15.7,0,0.129817783,0
